,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-03-09,13.125,49.375,12.222429,-2.3868408,768.2809,0.36075258,0.27199998,0.4099029623519464,1.4660334848066752,0.5030542157601566,0.4396213667438293,0.7534981479630007,0.4099029623519464
1982-03-10,13.125,49.375,13.7107115,-1.4483337,842.68396,0.35712484,0.26666665,0.5178097251501426,1.5388104759291013,0.5665020285236211,0.5818740590517391,0.9708932953373484,0.5178097251501426
1982-03-11,13.125,49.375,10.156902,-0.4206543,492.7257,0.3901049,0.26133332,0.5005154793937489,1.255368646585776,0.739175409086967,0.5005154793937489,0.9576189507594152,0.5005154793937489
1982-03-12,13.125,49.375,9.830172,-0.39535522,657.8132,0.38185358,0.25599998,0.47428908750196536,1.1848340931850248,0.7237244996862192,0.4764330361647065,0.9263459463980531,0.47428908750196536
1982-03-13,13.125,49.375,12.399306,-0.3524475,604.2102,0.37854007,0.25066665,0.5922518584529041,1.4699723466192702,0.7164737991621113,0.5922518584529041,1.181353519610415,0.5922518584529041
1982-03-14,13.125,49.375,12.759908,-0.6812439,618.24884,0.3749947,0.24533333,0.5670457510803997,1.4805372090872053,0.6665946389430075,0.5670457510803997,1.1556639105669002,0.5670457510803997
1982-03-15,13.125,49.375,15.580073,-1.2312622,860.2807,0.3715825,0.24,0.5439404313560987,1.5558936823687035,0.5236885905695999,0.6182546389589665,1.1332092319918723,0.5439404313560987
1982-03-16,13.125,49.375,14.408247,-1.2168274,1090.1938,0.37378737,0.24312499,0.4346461154390758,1.240074509098647,0.4524972213195774,0.5806895329847372,0.8938737960237568,0.4346461154390758
1982-03-17,13.125,49.375,12.023026,1.3086853,991.3527,0.3923431,0.24624999,0.5675875836883314,1.1270603329792126,0.7081257044046126,0.70516534189133,1.1524621456600495,0.5675875836883314
1982-03-18,13.125,49.375,8.740997,0.9369507,669.9156,0.39975074,0.249375,0.49022425649496865,1.0191772484302883,0.8412500138627813,0.49587725722736065,0.9829057774335213,0.49022425649496865
1982-03-19,13.125,49.375,4.4049625,0.7937927,329.2457,0.40334076,0.2525,0.24850132960166435,0.5260400711296875,0.8462092342499999,0.24850132960166435,0.492081840795375,0.24850132960166435
1982-03-20,13.125,49.375,11.144943,-2.0890503,660.6433,0.39360937,0.25562498,0.39854006776071643,1.339180335217461,0.5363958358881464,0.4009860828662002,0.7795405358285337,0.39854006776071643
1982-03-21,13.125,49.375,9.982126,1.2181702,682.00916,0.38388756,0.25875,0.5973295067637111,1.199216034458364,0.8975986279331344,0.6084644053822054,1.1542599164516156,0.5973295067637111
1982-03-22,13.125,49.375,12.683754,-0.45578003,635.0025,0.386082,0.261875,0.6230311923005527,1.5709308933448127,0.73680614465625,0.6230311923005527,1.18955836238769,0.6230311923005527
1982-03-23,13.125,49.375,14.520781,0.27511597,753.8498,0.3827406,0.265,0.7548181285325869,1.7119939408768128,0.7797288539775376,0.8024004768072572,1.424185148174692,0.7548181285325869
1982-03-24,13.125,49.375,17.759218,-1.9590149,854.20807,0.3730938,0.268125,0.6077092162533496,1.9892282037752853,0.5132905201006173,0.6879986598588811,1.1332572797265261,0.6077092162533496
1982-03-25,13.125,49.375,15.911583,-2.3011475,1009.3994,0.3659364,0.27124998,0.4619413922000077,1.6219852254213751,0.43547652568572937,0.5813508585451896,0.8515049331985345,0.4619413922000077
1982-03-26,13.125,49.375,17.568043,-1.1195068,1170.6294,0.3614154,0.274375,0.5707779365521352,1.6015093618185612,0.4873433568145313,0.8124952833482352,1.0401420256075358,0.5707779365521352
1982-03-27,13.125,49.375,18.429688,-1.3667908,1360.645,0.35769147,0.2775,0.4904254986566254,1.4365128841728922,0.3991593606928875,0.8257711713362946,0.8836495471290546,0.4904254986566254
1982-03-28,13.125,49.375,17.185003,1.2301025,1309.8574,0.35366595,0.280625,0.7086568282547623,1.4207233926518892,0.6185540045481188,1.1376735081951554,1.2626402285162803,0.7086568282547623
1982-03-29,13.125,49.375,13.461215,4.208191,860.8633,0.36279428,0.28375,1.0792767441998057,1.5888072194903657,1.2026515558214532,1.2271480889139348,1.9018092408807148,1.0792767441998057
1982-03-30,13.125,49.375,10.873073,2.6721802,747.571,0.36935008,0.28687498,0.8165259966803479,1.392913675674425,1.126442354448022,0.8647807632708621,1.4231390912521336,0.8165259966803479
