,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR
1982-06-25,13.125,49.375,23.577377,9.732147,2211.7437,0.29221767,0.41
1982-06-26,13.125,49.375,9.300136,15.271179,1184.86,0.3423086,0.396
1982-06-27,13.125,49.375,6.2912655,12.061737,1049.3174,0.3992359,0.382
1982-06-28,13.125,49.375,20.474539,11.648773,1478.7638,0.36529398,0.368
1982-06-29,13.125,49.375,20.227858,10.704437,1369.1483,0.37443557,0.354
1982-06-30,13.125,49.375,20.961027,10.545502,1395.2334,0.36384863,0.34
1982-07-01,13.125,49.375,19.975023,10.158752,1676.2834,0.34391603,0.35466668
1982-07-02,13.125,49.375,23.070797,13.092041,2279.6772,0.3233321,0.36933333
1982-07-03,13.125,49.375,21.858522,14.780243,2681.7727,0.3123231,0.384
1982-07-04,13.125,49.375,14.939597,12.65918,1327.4613,0.3725358,0.39866668
1982-07-05,13.125,49.375,18.599442,10.3784485,1878.2986,0.34900272,0.41333333
1982-07-06,13.125,49.375,20.788906,10.502838,1964.7122,0.32640475,0.428
1982-07-07,13.125,49.375,18.317799,11.815033,1748.7965,0.32582092,0.44266668
1982-07-08,13.125,49.375,21.505058,10.059479,2095.1013,0.30988905,0.45733333
1982-07-09,13.125,49.375,26.95767,9.670746,2305.3962,0.2890397,0.472
1982-07-10,13.125,49.375,26.81511,10.739563,2607.2212,0.26835862,0.48666668
1982-07-11,13.125,49.375,23.117672,12.8454895,2573.6497,0.24929267,0.50133336
1982-07-12,13.125,49.375,19.655394,14.364349,2358.5283,0.23985507,0.51600003
1982-07-13,13.125,49.375,19.716291,14.98053,2432.0981,0.23382515,0.53066665
1982-07-14,13.125,49.375,24.571093,14.012939,2689.8516,0.21970496,0.5453333
1982-07-15,13.125,49.375,25.460163,14.205719,3107.2078,0.2041422,0.56
1982-07-16,13.125,49.375,23.549355,16.88507,2892.9717,0.19386834,0.556875
1982-07-17,13.125,49.375,9.706504,16.078613,1902.2708,0.22584744,0.55375
1982-07-18,13.125,49.375,9.7105875,13.44635,1488.6229,0.28538844,0.550625
1982-07-19,13.125,49.375,8.691763,12.866272,1460.8953,0.2925657,0.5475
1982-07-20,13.125,49.375,17.509953,16.145477,2444.2273,0.27934676,0.544375
1982-07-21,13.125,49.375,21.64445,15.037201,2531.0603,0.29057506,0.54125
1982-07-22,13.125,49.375,16.79948,15.416687,1930.6896,0.34829712,0.538125
1982-07-23,13.125,49.375,10.890215,15.800812,1643.6843,0.36983317,0.53499997
1982-07-24,13.125,49.375,14.984296,15.263336,1786.0396,0.35637367,0.531875
1982-07-25,13.125,49.375,10.113856,15.038757,1173.4152,0.39774892,0.52875
1982-07-26,13.125,49.375,8.540226,13.090912,1150.9014,0.37474164,0.525625
1982-07-27,13.125,49.375,15.293859,11.95108,1275.2732,0.3747803,0.5225
1982-07-28,13.125,49.375,9.305617,12.452148,1530.3835,0.37757158,0.51937497
