,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-04-29,11.625,50.875,9.136753,1.1096497,655.7629,0.36281428,0.36666667,0.776187293908677,1.5792213507806243,1.2742830421956413,0.7787571926444034,1.0584372093442214,0.776187293908677
1982-04-30,11.625,50.875,19.066364,0.59262085,772.68036,0.36972794,0.37,1.427801046340581,3.1025663762289892,1.12328788515255,1.5354350428439412,1.9294608734332175,1.427801046340581
1982-05-01,11.625,50.875,9.997364,2.3073425,788.04614,0.37647977,0.37933335,0.9319328983855412,1.6520703747306171,1.3982679310049249,1.0117608276903065,1.2283825010186176,0.9319328983855412
1982-05-02,11.625,50.875,19.307247,1.281311,850.03217,0.37721422,0.38866666,1.5776719750505985,3.14339903377286,1.2257096843355748,1.7812712826584605,2.029595199972386,1.5776719750505985
1982-05-03,11.625,50.875,19.124392,1.9546204,1330.1691,0.35695454,0.398,1.1942634917438864,2.20059607839301,0.9367070271388649,1.9536454960639398,1.5003310197787514,1.1942634917438864
1982-05-04,11.625,50.875,15.348595,7.852539,1319.7358,0.34694555,0.40733334,1.6431193128530592,1.8252825070573861,1.605801032133292,2.6617840804358646,2.0169222004428353,1.6431193128530592
1982-05-05,11.625,50.875,13.095562,5.8547974,1093.8226,0.352978,0.41666666,1.500696802749626,1.926192790077815,1.7189374569220004,2.01057985363026,1.8008361921129297,1.500696802749626
1982-05-06,11.625,50.875,11.618724,4.3248596,808.8818,0.3641905,0.426,1.4608982406664888,2.1283482527192437,1.88604821062944,1.6067952493032214,1.714669296556912,1.4608982406664888
1982-05-07,11.625,50.875,16.16539,2.706543,704.708,0.41013312,0.43533334,1.8967561177199388,3.2241307457418635,1.7600157970701036,1.9580428592133152,2.1785100559032977,1.8967561177199388
1982-05-08,11.625,50.875,19.306732,3.2951965,1237.0839,0.38251355,0.44466665,1.683596954449157,2.6980720423864697,1.3080387875450572,2.53362972829068,1.8931000946992056,1.683596954449157
1982-05-09,11.625,50.875,18.390707,4.6537476,1260.636,0.37180614,0.454,1.8159605495260713,2.5710895505112146,1.4811506834887354,2.7890655038029046,1.999956552341488,1.8159605495260713
