,longitude,latitude,ssrd,t2mmin,e,tp,vpd,sSWC,FPAR
1982-04-19,11.625,50.875,14.617337,0.48742676,-1.5101248,0.08857618,1031.354,0.3482259,0.33333334
1982-04-20,11.625,50.875,19.368814,3.1533203,-2.1402113,0.073778376,1059.3229,0.3439172,0.33666667
1982-04-21,11.625,50.875,14.904447,2.9022217,-1.6819372,0.636445,1101.9979,0.34060365,0.34
1982-04-22,11.625,50.875,23.368307,2.6411438,-2.522359,0.0,1045.0602,0.33485046,0.34333333
1982-04-23,11.625,50.875,20.84983,0.15142822,-2.2586787,0.6683511,1164.7874,0.32630202,0.34666666
1982-04-24,11.625,50.875,15.844434,4.5285645,-2.4353857,6.1106176,997.94055,0.37237933,0.35
1982-04-25,11.625,50.875,20.046417,3.0532227,-2.4306095,0.0,1176.8427,0.34809363,0.35333332
1982-04-26,11.625,50.875,5.7504106,4.320038,-1.1000018,1.2866592,867.14813,0.34469032,0.35666665
1982-04-27,11.625,50.875,18.361181,2.705536,-2.298725,0.5409048,1118.3083,0.3459398,0.36
1982-04-28,11.625,50.875,7.236337,2.7370605,-1.1616476,2.3718543,764.87915,0.34555876,0.36333334
1982-04-29,11.625,50.875,9.136753,1.1096497,-1.7882445,5.1711493,655.7629,0.36281428,0.36666667
1982-04-30,11.625,50.875,19.066364,0.59262085,-2.6487653,1.0912609,772.68036,0.36972794,0.37
1982-05-01,11.625,50.875,9.997364,2.3073425,-2.175114,5.553226,788.04614,0.37647977,0.37933335
1982-05-02,11.625,50.875,19.307247,1.281311,-2.6581209,0.82539093,850.03217,0.37721422,0.38866666
1982-05-03,11.625,50.875,19.124392,1.9546204,-2.8780055,0.16179326,1330.1691,0.35695454,0.398
1982-05-04,11.625,50.875,15.348595,7.852539,-2.4598622,1.2961303,1319.7358,0.34694555,0.40733334
1982-05-05,11.625,50.875,13.095562,5.8547974,-2.293973,4.2284603,1093.8226,0.352978,0.41666666
1982-05-06,11.625,50.875,11.618724,4.3248596,-1.8297274,2.8224583,808.8818,0.3641905,0.426
1982-05-07,11.625,50.875,16.16539,2.706543,-2.5458016,13.129677,704.708,0.41013312,0.43533334
1982-05-08,11.625,50.875,19.306732,3.2951965,-2.62545,0.056785673,1237.0839,0.38251355,0.44466665
1982-05-09,11.625,50.875,18.390707,4.6537476,-2.3361628,2.3223832,1260.636,0.37180614,0.454
1982-05-10,11.625,50.875,15.722742,7.1632996,-2.4273372,7.243499,1035.9111,0.38812473,0.46333334
1982-05-11,11.625,50.875,6.422067,4.3450623,-1.4279428,9.34565,626.58453,0.41328156,0.47266665
1982-05-12,11.625,50.875,18.160084,2.0657349,-2.296808,0.004127181,1343.72,0.39144892,0.482
1982-05-13,11.625,50.875,25.875626,5.104828,-3.102381,8.326673e-14,1527.4467,0.37393993,0.49133334
1982-05-14,11.625,50.875,25.638834,6.956421,-3.1897075,8.326673e-14,1686.8774,0.36032313,0.5006667
1982-05-15,11.625,50.875,25.476145,8.31189,-3.5306108,8.326673e-14,2018.864,0.34832928,0.51
1982-05-16,11.625,50.875,25.24763,10.39444,-3.6896062,0.036145553,2456.9456,0.3364752,0.515
1982-05-17,11.625,50.875,19.11678,12.616211,-2.9632666,2.479286,2071.78,0.35046887,0.52
1982-05-18,11.625,50.875,22.76685,12.791443,-3.2148738,0.68978363,1924.5876,0.3637787,0.525
1982-05-19,11.625,50.875,17.33758,10.923431,-2.612784,1.6760733,1564.9463,0.35512963,0.53
1982-05-20,11.625,50.875,23.287586,9.075775,-3.192019,0.02624933,1807.2415,0.33810437,0.53499997
1982-05-21,11.625,50.875,17.42542,12.47406,-2.3708067,1.7672359,1410.1063,0.33008888,0.53999996
1982-05-22,11.625,50.875,12.074706,12.478119,-2.0307436,1.0476435,1579.6056,0.3281435,0.54499996
1982-05-23,11.625,50.875,19.440784,10.283264,-3.06939,3.586534,1429.2329,0.32914823,0.54999995
1982-05-24,11.625,50.875,16.195997,9.157623,-2.5918822,2.7693565,1143.3701,0.34273478,0.555
1982-05-25,11.625,50.875,17.368855,8.464874,-2.5550504,0.075890236,1675.6212,0.33032694,0.56
1982-05-26,11.625,50.875,26.8377,7.743622,-3.9723504,8.326673e-14,2214.4626,0.3116015,0.565
1982-05-27,11.625,50.875,26.694025,11.081909,-3.9779065,0.0013372776,2642.126,0.29488948,0.57
1982-05-28,11.625,50.875,8.913001,9.373383,-1.4825925,1.1714631,1090.2109,0.29251856,0.575
1982-05-29,11.625,50.875,16.808804,7.5753174,-2.3220773,0.246049,1445.8201,0.29117772,0.58
1982-05-30,11.625,50.875,26.904161,5.775696,-3.5680447,8.326673e-14,1820.9951,0.27760077,0.585
1982-05-31,11.625,50.875,27.134266,8.900879,-3.7962544,8.326673e-14,2496.5872,0.26141575,0.59
1982-06-01,11.625,50.875,25.530924,13.613159,-3.720644,0.0040747956,3038.8525,0.24527034,0.59
1982-06-02,11.625,50.875,27.199823,15.937592,-4.1429415,0.0,3155.257,0.23167603,0.59
1982-06-03,11.625,50.875,26.6249,14.301636,-4.2827134,0.0,3356.8982,0.21499766,0.59
1982-06-04,11.625,50.875,26.107538,16.386688,-3.8932,0.0,3404.5798,0.19807805,0.59
1982-06-05,11.625,50.875,24.459204,15.734955,-3.432599,0.015870256,3486.7534,0.18288814,0.59
