,longitude,latitude,ssrd,t2mmin,vpd,FPAR
1982-06-11,11.625,50.875,13.136615,11.50589,1323.1805,0.59
1982-06-12,11.625,50.875,15.480962,11.285034,1354.562,0.59
1982-06-13,11.625,50.875,18.863995,9.184235,1133.2717,0.59
1982-06-14,11.625,50.875,20.216301,8.811371,1053.2089,0.59
1982-06-15,11.625,50.875,17.220896,7.829712,1128.8055,0.59
1982-06-16,11.625,50.875,9.580663,7.045929,746.3236,0.58666664
1982-06-17,11.625,50.875,15.542868,6.8182983,1023.62146,0.5833333
1982-06-18,11.625,50.875,22.27059,6.5941772,1315.4393,0.58
1982-06-19,11.625,50.875,21.425442,11.1875305,1289.8376,0.57666665
1982-06-20,11.625,50.875,17.682024,10.187561,1353.229,0.5733333
1982-06-21,11.625,50.875,14.590056,8.396118,1307.1433,0.57
1982-06-22,11.625,50.875,18.649883,11.086609,1580.5283,0.56666666
1982-06-23,11.625,50.875,16.9511,14.145172,1684.0311,0.5633333
1982-06-24,11.625,50.875,19.145096,12.492889,1555.8984,0.55999994
1982-06-25,11.625,50.875,22.508354,10.402588,1807.783,0.5566666
1982-06-26,11.625,50.875,13.936934,15.463348,1563.154,0.5533333
1982-06-27,11.625,50.875,13.680953,13.132294,1374.042,0.54999995
1982-06-28,11.625,50.875,19.228193,12.377747,1371.0161,0.5466666
1982-06-29,11.625,50.875,21.363152,11.370758,1341.1284,0.5433333
1982-06-30,11.625,50.875,19.583092,10.728851,1333.3186,0.53999996
1982-07-01,11.625,50.875,19.26445,10.2734375,1505.1721,0.5393333
1982-07-02,11.625,50.875,18.431795,14.077484,2038.288,0.5386666
1982-07-03,11.625,50.875,17.297499,17.262543,2278.9292,0.538
1982-07-04,11.625,50.875,18.321976,12.053284,1306.4983,0.5373333
1982-07-05,11.625,50.875,17.99115,10.283539,1554.1874,0.53666663
1982-07-06,11.625,50.875,15.41044,11.804626,1543.7559,0.53599995
1982-07-07,11.625,50.875,17.49951,12.666016,1490.2273,0.5353333
1982-07-08,11.625,50.875,24.626673,10.077087,1940.3572,0.53466666
1982-07-09,11.625,50.875,26.862644,13.465454,2301.4033,0.534
1982-07-10,11.625,50.875,26.583794,13.79599,2571.879,0.5333333
1982-07-11,11.625,50.875,26.549387,14.277344,2544.1558,0.5326666
1982-07-12,11.625,50.875,22.19728,15.020508,2285.132,0.53199995
1982-07-13,11.625,50.875,22.05292,16.833923,2386.5317,0.5313333
1982-07-14,11.625,50.875,21.67158,15.713257,2688.4573,0.53066665
1982-07-15,11.625,50.875,22.262953,16.810242,2964.9297,0.53
1982-07-16,11.625,50.875,22.461866,17.032715,2530.313,0.52937496
1982-07-17,11.625,50.875,10.018918,16.901245,1758.2299,0.52874994
1982-07-18,11.625,50.875,18.477411,14.428741,2039.2015,0.528125
1982-07-19,11.625,50.875,13.446567,12.307312,1886.522,0.5275
1982-07-20,11.625,50.875,16.304058,16.687866,2566.7695,0.52687496
1982-07-21,11.625,50.875,21.209759,16.944977,2666.3684,0.52625
1982-07-22,11.625,50.875,18.361307,15.93396,2192.4802,0.525625
1982-07-23,11.625,50.875,15.802846,15.274353,2292.3318,0.525
1982-07-24,11.625,50.875,12.60306,17.46576,2418.7278,0.52437496
1982-07-25,11.625,50.875,15.858565,15.912567,2149.5715,0.52374995
1982-07-26,11.625,50.875,9.85921,13.945435,1436.6957,0.523125
1982-07-27,11.625,50.875,11.3214,12.528595,1325.6987,0.5225
1982-07-28,11.625,50.875,17.888086,11.211426,1876.4648,0.52187496
1982-07-29,11.625,50.875,22.939405,14.104187,2363.0452,0.52125
1982-07-30,11.625,50.875,24.787828,13.019562,2565.368,0.520625
1982-07-31,11.625,50.875,22.429798,16.635681,2903.5908,0.52
1982-08-01,11.625,50.875,22.97071,15.068726,2899.4102,0.5193333
1982-08-02,11.625,50.875,21.448977,14.8185425,2867.9133,0.5186666
1982-08-03,11.625,50.875,22.804995,16.302582,2878.7937,0.518
1982-08-04,11.625,50.875,14.663734,17.081146,2371.8015,0.5173333
1982-08-05,11.625,50.875,16.773052,14.86972,1958.4235,0.51666665
1982-08-06,11.625,50.875,12.92445,16.067535,1447.2762,0.516
1982-08-07,11.625,50.875,10.049161,15.825134,1185.0017,0.5153333
