,longitude,latitude,ssrd,t2mmin,vpd,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR
1992-03-21,11.625,50.875,5.5979786,3.8161926,753.8905,0.34875,0.5692962858409097,0.8684916641356365,1.5254513991199685,0.6052480181170633,0.8161953918866088
1992-03-22,11.625,50.875,5.9145365,1.7798462,538.8953,0.34687498,0.516300065835103,0.970306457122915,1.3094011656748663,0.516300065835103,0.7442163540234338
1992-03-23,11.625,50.875,9.598459,1.4794006,639.481,0.34499997,0.8048490187848596,1.5661588223095146,1.257778491502948,0.8048490187848596,1.1664479547416478
1992-03-24,11.625,50.875,6.971172,1.263794,505.14554,0.343125,0.566549303577824,1.1312885454828752,1.2190546372500004,0.566549303577824,0.8255727556689602
1992-03-25,11.625,50.875,5.039656,0.10043335,159.18457,0.34124997,0.34999359030873495,0.813371113894341,1.0417186916390768,0.34999359030873495,0.5128111664137801
1992-03-26,11.625,50.875,12.49295,0.32644653,637.67676,0.339375,0.8903136844044562,2.0052110009109376,1.0689793256250002,0.8903136844044562,1.3116960359550003
1992-03-27,11.625,50.875,9.821922,0.83532715,578.1025,0.33749998,0.7445393087084091,1.56778123543569,1.1370574548063135,0.7445393087084091,1.1030212634507552
1992-03-28,11.625,50.875,11.576207,-0.6567993,449.62134,0.335625,0.7063487742650344,1.8375358331556566,0.9152593430625001,0.7063487742650344,1.0522886767449302
1992-03-29,11.625,50.875,12.234401,-1.3141785,521.1865,0.33374998,0.6654791638748642,1.9311641435718636,0.8159114171689291,0.6654791638748642,0.9969725898932851
1992-03-30,11.625,50.875,12.399786,-1.3727722,604.16315,0.331875,0.6636793992179362,1.9462738979998127,0.8028518385937501,0.6636793992179362,0.9998936334733501
1992-03-31,11.625,50.875,13.303933,0.49713135,897.72504,0.32999998,0.8099108631273432,1.7823742586429208,0.9131632688551683,0.9435121891045471,1.22713774577705
1992-04-01,11.625,50.875,8.200206,2.5604858,517.1484,0.33266667,0.747528532869653,1.290176963875825,1.3673958914013615,0.747528532869653,1.1235398678046902
1992-04-02,11.625,50.875,17.862553,1.9768372,849.9849,0.33533332,1.3652143341008116,2.5091239369616094,1.1464327082199377,1.541395883595813,2.03560793496574
1992-04-03,11.625,50.875,14.158534,2.8916016,810.4377,0.338,1.2324483273955624,2.055793707081839,1.3056948488405253,1.3568736402020947,1.823148413307045
1992-04-04,11.625,50.875,9.516466,1.9690247,644.161,0.34066665,0.8334892407097899,1.533276748914257,1.313758553926095,0.8334892407097899,1.2233208632394599
1992-04-05,11.625,50.875,13.507777,-0.008361816,656.58014,0.34333333,0.9258061879619826,2.185051187070999,1.0280812912020783,0.9293376711122089,1.348261451869503
1992-04-06,11.625,50.875,14.605481,-0.518219,777.69604,0.346,0.8702788034448341,2.2155774018453007,0.8937865210788,0.9388120857010076,1.257628328677506
1992-04-07,11.625,50.875,14.391243,0.08660889,909.13324,0.34866667,0.8683119072837763,2.0216808085768947,0.9050419487223337,1.0192650631339082,1.2451891476804713
1992-04-08,11.625,50.875,16.56036,0.10443115,864.5118,0.35133332,1.0396232862004786,2.4143596985612605,0.9416672882115595,1.1848909120133106,1.4795398372697455
1992-04-09,11.625,50.875,18.006205,1.4157715,972.08044,0.354,1.2545876755999492,2.4599758345097036,1.0451294503200002,1.5374848965685652,1.7720164909603802
1992-04-10,11.625,50.875,18.613468,1.1013489,967.6565,0.35666665,1.2618426585924045,2.5699443148521475,1.0168787395710497,1.5416526067103296,1.768938389098623
1992-04-11,11.625,50.875,19.834843,2.4346924,1115.3555,0.35933334,1.4149493249857894,2.4745528593665433,1.0700482920276628,1.9274612790979286,1.9688533841387907
1992-04-12,11.625,50.875,19.130058,3.7129517,1308.6865,0.362,1.3261467841582237,2.042425356781494,1.03984011770238,2.126598435147889,1.831694453257215
1992-04-13,11.625,50.875,15.909458,6.092804,1052.0131,0.36466667,1.6771562094512367,2.113618411406726,1.5812822248104585,2.17727665773236,2.299574306381272
1992-04-14,11.625,50.875,13.457221,5.259613,1059.3195,0.36733332,1.3307767802182457,1.7910858414781232,1.4833413007985587,1.7370797287798534,1.8114022166819028
1992-04-15,11.625,50.875,14.022884,6.1258545,1074.3472,0.37,1.4786899341076905,1.858818270405645,1.581725200865625,1.952065919614113,1.9982296406860682
1992-04-16,11.625,50.875,8.586767,0.08407593,570.36975,0.37333333,0.6508824489276704,1.5161482621189621,1.1370096258481284,0.6508824489276704,0.8717175733113225
1992-04-17,11.625,50.875,15.6577425,-1.3856506,573.2112,0.37666667,0.9492126516017741,2.789340733475681,0.9093386082972442,0.9492126516017741,1.2600167830110562
1992-04-18,11.625,50.875,6.774985,1.6233215,565.1711,0.38,0.636321459582081,1.2176070791850002,1.408832919,0.636321459582081,0.837265078397475
1992-04-19,11.625,50.875,14.633959,4.312561,968.72015,0.38333333,1.4877318569533604,2.1699706198269553,1.5249446752106117,1.818965468826703,1.940519830291512
1992-04-20,11.625,50.875,15.73461,0.9506836,801.8207,0.38666666,1.266282977811129,2.6276882710336773,1.2071633594456384,1.3866436463109166,1.6374349133322343
1992-04-21,11.625,50.875,19.094496,-2.6169128,943.05975,0.39,0.7787541057184663,2.9320561209279603,0.61176328434,0.9354403672293888,0.9984026996390594
1992-04-22,11.625,50.875,16.27562,2.4664307,1098.2141,0.39333332,1.2921499578029412,2.252309495908909,1.1908762533804622,1.736994162929078,1.642563561361826
1992-04-23,11.625,50.875,11.09732,6.2478333,846.57935,0.39666668,1.4838388523253816,1.848099205785754,2.0056718905898654,1.671554412893299,1.8703850451030848
1992-04-24,11.625,50.875,14.232356,6.539154,1179.1976,0.4,1.5413100283075767,1.878272030596608,1.6244429541120002,2.2094467148904484,1.9266375353844707
1992-04-25,11.625,50.875,19.559496,10.014221,1789.0381,0.40333334,1.3025273801839263,1.3025273801839263,0.9988964287606847,3.7311010603950905,1.6147033371750603
1992-04-26,11.625,50.875,16.367882,9.841492,1651.7954,0.40666667,1.3458058563530106,1.3458058563530106,1.2333353726093064,3.1480838745099664,1.6546793180186252
1992-04-27,11.625,50.875,14.2335615,7.18692,1375.3843,0.41,1.38943107863469,1.6159933457021285,1.4642481559882499,2.373067598009718,1.694428144676451
1992-04-28,11.625,50.875,11.33836,6.5077515,1211.4203,0.41333333,1.2325040821350572,1.5054404325577833,1.6305322138321467,1.8146408747571512,1.4909323694450882
1992-04-29,11.625,50.875,13.622677,4.887512,906.85236,0.41666666,1.6502558178170614,2.290431391834922,1.8171052038638167,1.9341957545910238,1.9803070130653861
1992-04-30,11.625,50.875,19.037172,2.9588928,1014.89374,0.42,1.8066212085409121,2.9930768862506825,1.423494945999,2.2825283746568696,2.1507395339772764
1992-05-01,11.625,50.875,14.128794,4.830597,1077.8043,0.42799997,1.5492363765855126,2.1607201904958337,1.6447649848092265,2.0506106903845303,1.8098557069823076
1992-05-02,11.625,50.875,3.7082102,5.294983,532.8734,0.436,0.5698216021235424,0.7646559341432402,2.3049729036,0.5698216021235424,0.653465140049934
1992-05-03,11.625,50.875,11.84131,5.123413,827.6744,0.44399998,1.6416673478826966,2.2341689546579975,2.0795849630015977,1.8271200310324949,1.8487245741347744
1992-05-04,11.625,50.875,15.785647,4.598419,1016.0711,0.452,1.8757556160929192,2.668595271152254,1.7823998117653197,2.3719722004209904,2.0749509027576543
1992-05-05,11.625,50.875,23.05709,2.8399353,1200.4025,0.45999998,2.05079680083206,3.4386264266131112,1.3341645460238434,2.9916802346200724,2.22912705434472
1992-05-06,11.625,50.875,18.096844,3.2265015,1329.815,0.46799996,1.5181403442411499,2.4494035886433525,1.2583467682882852,2.482649786167048,1.6219449508512243
